SOC2018Code,SOC2018Title,CIP2020Code,CIP2020Title
13-1074,Farm Labor Contractors,99.9999,NO MATCH
25-3031,"Substitute Teachers, Short-Term",99.9999,NO MATCH
25-3041,Tutors,99.9999,NO MATCH
27-1023,Floral Designers,99.9999,NO MATCH
27-2023,"Umpires, Referees, and Other Sports Officials",99.9999,NO MATCH
27-4099,"Media and Communication Equipment Workers, All Other",99.9999,NO MATCH
31-1132,Orderlies,99.9999,NO MATCH
31-9095,Pharmacy Aides,99.9999,NO MATCH
33-3041,Parking Enforcement Workers,99.9999,NO MATCH
33-9011,Animal Control Workers,99.9999,NO MATCH
33-9091,Crossing Guards and Flaggers,99.9999,NO MATCH
33-9093,Transportation Security Screeners,99.9999,NO MATCH
33-9094,School Bus Monitors,99.9999,NO MATCH
33-9099,"Protective Service Workers, All Other",99.9999,NO MATCH
35-2011,"Cooks, Fast Food",99.9999,NO MATCH
35-2015,"Cooks, Short Order",99.9999,NO MATCH
35-2021,Food Preparation Workers,99.9999,NO MATCH
35-3023,Fast Food and Counter Workers,99.9999,NO MATCH
35-3031,Waiters and Waitresses,99.9999,NO MATCH
35-3041,"Food Servers, Nonrestaurant",99.9999,NO MATCH
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,99.9999,NO MATCH
35-9021,Dishwashers,99.9999,NO MATCH
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",99.9999,NO MATCH
35-9099,"Food Preparation and Serving Related Workers, All Other",99.9999,NO MATCH
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",99.9999,NO MATCH
37-2012,Maids and Housekeeping Cleaners,99.9999,NO MATCH
37-2019,"Building Cleaning Workers, All Other",99.9999,NO MATCH
37-2021,Pest Control Workers,99.9999,NO MATCH
37-3013,Tree Trimmers and Pruners,99.9999,NO MATCH
37-3019,"Grounds Maintenance Workers, All Other",99.9999,NO MATCH
39-3012,Gambling and Sports Book Writers and Runners,99.9999,NO MATCH
39-3019,"Gambling Service Workers, All Other",99.9999,NO MATCH
39-3021,Motion Picture Projectionists,99.9999,NO MATCH
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",99.9999,NO MATCH
39-3091,Amusement and Recreation Attendants,99.9999,NO MATCH
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",99.9999,NO MATCH
39-3099,"Entertainment Attendants and Related Workers, All Other",99.9999,NO MATCH
39-4021,Funeral Attendants,99.9999,NO MATCH
39-6011,Baggage Porters and Bellhops,99.9999,NO MATCH
39-9099,"Personal Care and Service Workers, All Other",99.9999,NO MATCH
41-2011,Cashiers,99.9999,NO MATCH
41-2012,Gambling Change Persons and Booth Cashiers,99.9999,NO MATCH
41-2021,Counter and Rental Clerks,99.9999,NO MATCH
41-2031,Retail Salespersons,99.9999,NO MATCH
41-9031,Sales Engineers,99.9999,NO MATCH
41-9041,Telemarketers,99.9999,NO MATCH
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",99.9999,NO MATCH
43-2011,"Switchboard Operators, Including Answering Service",99.9999,NO MATCH
43-2021,Telephone Operators,99.9999,NO MATCH
43-3021,Billing and Posting Clerks,99.9999,NO MATCH
43-3099,"Financial Clerks, All Other",99.9999,NO MATCH
43-4031,"Court, Municipal, and License Clerks",99.9999,NO MATCH
43-4081,"Hotel, Motel, and Resort Desk Clerks",99.9999,NO MATCH
43-4111,"Interviewers, Except Eligibility and Loan",99.9999,NO MATCH
43-4121,"Library Assistants, Clerical",99.9999,NO MATCH
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,99.9999,NO MATCH
43-4199,"Information and Record Clerks, All Other",99.9999,NO MATCH
43-5021,Couriers and Messengers,99.9999,NO MATCH
43-5031,Public Safety Telecommunicators,99.9999,NO MATCH
43-5041,"Meter Readers, Utilities",99.9999,NO MATCH
43-5051,Postal Service Clerks,99.9999,NO MATCH
43-5052,Postal Service Mail Carriers,99.9999,NO MATCH
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",99.9999,NO MATCH
43-5071,"Shipping, Receiving, and Inventory Clerks",99.9999,NO MATCH
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",99.9999,NO MATCH
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",99.9999,NO MATCH
43-9071,"Office Machine Operators, Except Computer",99.9999,NO MATCH
43-9199,"Office and Administrative Support Workers, All Other",99.9999,NO MATCH
45-2041,"Graders and Sorters, Agricultural Products",99.9999,NO MATCH
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",99.9999,NO MATCH
45-2099,"Agricultural Workers, All Other",99.9999,NO MATCH
45-4021,Fallers,99.9999,NO MATCH
45-4023,Log Graders and Scalers,99.9999,NO MATCH
45-4029,"Logging Workers, All Other",99.9999,NO MATCH
47-2061,Construction Laborers,99.9999,NO MATCH
47-2082,Tapers,99.9999,NO MATCH
47-2151,Pipelayers,99.9999,NO MATCH
47-2161,Plasterers and Stucco Masons,99.9999,NO MATCH
47-2171,Reinforcing Iron and Rebar Workers,99.9999,NO MATCH
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",99.9999,NO MATCH
47-3012,Helpers--Carpenters,99.9999,NO MATCH
47-3013,Helpers--Electricians,99.9999,NO MATCH
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",99.9999,NO MATCH
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",99.9999,NO MATCH
47-3016,Helpers--Roofers,99.9999,NO MATCH
47-3019,"Helpers, Construction Trades, All Other",99.9999,NO MATCH
47-4031,Fence Erectors,99.9999,NO MATCH
47-4091,Segmental Pavers,99.9999,NO MATCH
47-4099,"Construction and Related Workers, All Other",99.9999,NO MATCH
47-5043,"Roof Bolters, Mining",99.9999,NO MATCH
47-5044,"Loading and Moving Machine Operators, Underground Mining",99.9999,NO MATCH
47-5051,"Rock Splitters, Quarry",99.9999,NO MATCH
47-5071,"Roustabouts, Oil and Gas",99.9999,NO MATCH
47-5081,Helpers--Extraction Workers,99.9999,NO MATCH
49-3093,Tire Repairers and Changers,99.9999,NO MATCH
49-9011,Mechanical Door Repairers,99.9999,NO MATCH
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",99.9999,NO MATCH
49-9096,Riggers,99.9999,NO MATCH
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",99.9999,NO MATCH
51-2021,"Coil Winders, Tapers, and Finishers",99.9999,NO MATCH
51-2022,Electrical and Electronic Equipment Assemblers,99.9999,NO MATCH
51-2023,Electromechanical Equipment Assemblers,99.9999,NO MATCH
51-2051,Fiberglass Laminators and Fabricators,99.9999,NO MATCH
51-2092,Team Assemblers,99.9999,NO MATCH
51-2099,"Assemblers and Fabricators, All Other",99.9999,NO MATCH
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",99.9999,NO MATCH
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",99.9999,NO MATCH
51-3093,Food Cooking Machine Operators and Tenders,99.9999,NO MATCH
51-3099,"Food Processing Workers, All Other",99.9999,NO MATCH
51-4051,Metal-Refining Furnace Operators and Tenders,99.9999,NO MATCH
51-4052,"Pourers and Casters, Metal",99.9999,NO MATCH
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",99.9999,NO MATCH
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",99.9999,NO MATCH
51-5113,Print Binding and Finishing Workers,99.9999,NO MATCH
51-6011,Laundry and Dry-Cleaning Workers,99.9999,NO MATCH
51-6021,"Pressers, Textile, Garment, and Related Materials",99.9999,NO MATCH
51-6031,Sewing Machine Operators,99.9999,NO MATCH
51-6051,"Sewers, Hand",99.9999,NO MATCH
51-6052,"Tailors, Dressmakers, and Custom Sewers",99.9999,NO MATCH
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,99.9999,NO MATCH
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",99.9999,NO MATCH
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",99.9999,NO MATCH
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",99.9999,NO MATCH
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",99.9999,NO MATCH
51-6099,"Textile, Apparel, and Furnishings Workers, All Other",99.9999,NO MATCH
51-8012,Power Distributors and Dispatchers,99.9999,NO MATCH
51-8021,Stationary Engineers and Boiler Operators,99.9999,NO MATCH
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",99.9999,NO MATCH
51-8099,"Plant and System Operators, All Other",99.9999,NO MATCH
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",99.9999,NO MATCH
51-9022,"Grinding and Polishing Workers, Hand",99.9999,NO MATCH
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",99.9999,NO MATCH
51-9031,"Cutters and Trimmers, Hand",99.9999,NO MATCH
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",99.9999,NO MATCH
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",99.9999,NO MATCH
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",99.9999,NO MATCH
51-9111,Packaging and Filling Machine Operators and Tenders,99.9999,NO MATCH
51-9123,"Painting, Coating, and Decorating Workers",99.9999,NO MATCH
51-9151,Photographic Process Workers and Processing Machine Operators,99.9999,NO MATCH
51-9191,Adhesive Bonding Machine Operators and Tenders,99.9999,NO MATCH
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",99.9999,NO MATCH
51-9193,Cooling and Freezing Equipment Operators and Tenders,99.9999,NO MATCH
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",99.9999,NO MATCH
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",99.9999,NO MATCH
51-9197,Tire Builders,99.9999,NO MATCH
51-9198,Helpers--Production Workers,99.9999,NO MATCH
51-9199,"Production Workers, All Other",99.9999,NO MATCH
53-1041,Aircraft Cargo Handling Supervisors,99.9999,NO MATCH
53-1042,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",99.9999,NO MATCH
53-3031,Driver/Sales Workers,99.9999,NO MATCH
53-3054,Taxi Drivers,99.9999,NO MATCH
53-3099,"Motor Vehicle Operators, All Other",99.9999,NO MATCH
53-5011,Sailors and Marine Oilers,99.9999,NO MATCH
53-6011,Bridge and Lock Tenders,99.9999,NO MATCH
53-6021,Parking Attendants,99.9999,NO MATCH
53-6031,Automotive and Watercraft Service Attendants,99.9999,NO MATCH
53-6032,Aircraft Service Attendants,99.9999,NO MATCH
53-6051,Transportation Inspectors,99.9999,NO MATCH
53-6061,Passenger Attendants,99.9999,NO MATCH
53-6099,"Transportation Workers, All Other",99.9999,NO MATCH
53-7011,Conveyor Operators and Tenders,99.9999,NO MATCH
53-7061,Cleaners of Vehicles and Equipment,99.9999,NO MATCH
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",99.9999,NO MATCH
53-7063,Machine Feeders and Offbearers,99.9999,NO MATCH
53-7064,"Packers and Packagers, Hand",99.9999,NO MATCH
53-7065,Stockers and Order Fillers,99.9999,NO MATCH
53-7071,Gas Compressor and Gas Pumping Station Operators,99.9999,NO MATCH
53-7072,"Pump Operators, Except Wellhead Pumpers",99.9999,NO MATCH
53-7073,Wellhead Pumpers,99.9999,NO MATCH
53-7081,Refuse and Recyclable Material Collectors,99.9999,NO MATCH
53-7121,"Tank Car, Truck, and Ship Loaders",99.9999,NO MATCH
55-1011,Air Crew Officers,99.9999,NO MATCH
55-1012,Aircraft Launch and Recovery Officers,99.9999,NO MATCH
55-1013,Armored Assault Vehicle Officers,99.9999,NO MATCH
55-2011,First-Line Supervisors of Air Crew Members,99.9999,NO MATCH
55-2012,First-Line Supervisors of Weapons Specialists/Crew Members,99.9999,NO MATCH
55-2013,First-Line Supervisors of All Other Tactical Operations Specialists,99.9999,NO MATCH
55-3011,Air Crew Members,99.9999,NO MATCH
55-3013,Armored Assault Vehicle Crew Members,99.9999,NO MATCH
55-3016,Infantry,99.9999,NO MATCH
